text,clean_text,true_label,svm_pred,lr_pred,bert_pred,ensemble_pred,ensemble_correct
Do you think Michelle Obama wanted to smack Melania Trump for plagiarizing her convention speech? She has the arms for it.,do you think michelle obama wanted to smack melania trump for plagiarizing her convention speech she has the arms for it,Neutral,Neutral,Neutral,Negative,Negative,False
Well that finale was one big mindfuck 😳 #Westworld,well that finale was one big mindfuck westworld,Neutral,Positive,Positive,Positive,Positive,False
"Luis Enrique: ""In the first half I can't remember Celtic having a clear chance and Messi as usual was at a really high level."" #fcblive",luis enrique in the first half can remember celtic having clear chance and messi as usual was at really high level fcblive,Neutral,Neutral,Neutral,Neutral,Neutral,True
Happy Thanksgiving from a couple of bad hombres! #movember #firefighters #thanksgiving…,happy thanksgiving from couple of bad hombres movember firefighters thanksgiving,Positive,Negative,Positive,Positive,Positive,True
@user Viper. Another fucking nazi,viper another fucking nazi,Negative,Negative,Negative,Negative,Negative,True
Viendo The Walking Dead 7x02 - El pozo #TheWalkingDead,viendo the walking dead el pozo thewalkingdead,Neutral,Positive,Neutral,Neutral,Neutral,True
Watch peanut butter drone strikes that could save endangered ferrets #USFWS #endangeredspecies,watch peanut butter drone strikes that could save endangered ferrets usfws endangeredspecies,Neutral,Neutral,Neutral,Neutral,Neutral,True
Wow! Liberals are now asking for a refund from Jill Stein lol,wow liberals are now asking for refund from jill stein lol,Negative,Neutral,Negative,Negative,Negative,True
#NBA @user #Nuggets - @user #Jazz Highligts,nba nuggets jazz highligts,Neutral,Positive,Neutral,Neutral,Neutral,True
#NationalFastFoodDay Would love to live there. Chick-fil-A 😍,nationalfastfoodday would love to live there chick fil,Positive,Positive,Positive,Positive,Positive,True
@user Electoral college was created so that the interests of all states mattered. Trump won the popular vote on the state level.,electoral college was created so that the interests of all states mattered trump won the popular vote on the state level,Positive,Neutral,Neutral,Positive,Positive,True
@user @user Why get rid of Obamacare?,why get rid of obamacare,Neutral,Neutral,Negative,Neutral,Neutral,True
